epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,598.589,1.2509,0.75638,1.41769,0.7752,0.77381,0.87754,0.49693,1.15085,0.74394,1.42804,0.00132043,0.00132043,0.00132043
44,612.843,1.22265,0.74349,1.45228,0.78143,0.85705,0.86126,0.44757,1.43917,0.73372,1.51565,0.00131218,0.00131218,0.00131218
45,627.174,1.23786,0.73409,1.45312,0.81864,0.86656,0.88541,0.46093,1.38951,0.73366,1.4851,0.00130393,0.00130393,0.00130393
46,640.507,1.24475,0.75651,1.43913,0.83788,0.86905,0.89975,0.51933,1.20683,0.66035,1.40611,0.00129568,0.00129568,0.00129568
47,654.141,1.2341,0.75871,1.44618,0.80043,0.84524,0.85469,0.4794,1.34798,0.71728,1.44172,0.00128742,0.00128742,0.00128742
48,668.031,1.29574,0.7751,1.46815,0.83516,0.86905,0.90437,0.53404,1.04208,0.63574,1.32153,0.00127917,0.00127917,0.00127917
49,682.359,1.24342,0.74797,1.41651,0.88321,0.86905,0.90762,0.51146,1.37709,0.68512,1.43378,0.00127092,0.00127092,0.00127092
50,696.405,1.21686,0.69442,1.39912,0.81082,0.87716,0.85611,0.47117,1.33222,0.77,1.40871,0.00126267,0.00126267,0.00126267
51,709.312,1.2128,0.71649,1.39627,0.9089,0.91667,0.93539,0.45788,1.44864,0.75402,1.43462,0.00125442,0.00125442,0.00125442
52,722.588,1.2238,0.72238,1.41116,0.82187,0.86905,0.86422,0.5242,1.09123,0.64415,1.27898,0.00124617,0.00124617,0.00124617
53,736.625,1.20456,0.71555,1.3708,0.92408,0.88024,0.90563,0.57881,1.04395,0.62504,1.27693,0.00123791,0.00123791,0.00123791
54,750.809,1.1872,0.69057,1.35721,0.7895,0.89286,0.85993,0.48337,1.14311,0.63256,1.30808,0.00122966,0.00122966,0.00122966
55,763.476,1.19386,0.7132,1.35117,0.9493,0.87515,0.91375,0.50428,1.27614,0.65976,1.3175,0.00122141,0.00122141,0.00122141
56,777.1,1.17026,0.70861,1.35265,0.93302,0.90171,0.91992,0.54246,1.11554,0.64275,1.26607,0.00121316,0.00121316,0.00121316
57,790.835,1.16234,0.66859,1.29848,0.93121,0.92857,0.94221,0.56984,1.0691,0.63354,1.27829,0.00120491,0.00120491,0.00120491
58,804.853,1.18228,0.70001,1.3366,0.87822,0.89286,0.90308,0.57699,0.96878,0.58069,1.22065,0.00119666,0.00119666,0.00119666
59,817.598,1.09488,0.65127,1.29607,0.98157,0.90222,0.92502,0.56017,1.13709,0.60539,1.28103,0.0011884,0.0011884,0.0011884
60,831.015,1.18564,0.68303,1.3611,0.92928,0.96429,0.95808,0.55215,1.15873,0.61457,1.26948,0.00118015,0.00118015,0.00118015
61,845.365,1.14857,0.68363,1.31806,0.94478,0.94048,0.96095,0.59067,1.1201,0.60737,1.2692,0.0011719,0.0011719,0.0011719
62,859.282,1.14019,0.67101,1.28963,0.89136,0.91667,0.96918,0.54417,1.12033,0.62846,1.23087,0.00116365,0.00116365,0.00116365
63,872.023,1.12569,0.63751,1.306,0.95633,0.91667,0.94891,0.50495,1.27864,0.6037,1.30877,0.0011554,0.0011554,0.0011554
64,885.369,1.15457,0.65129,1.32344,0.8836,0.91239,0.93962,0.51545,1.38678,0.64898,1.39309,0.00114715,0.00114715,0.00114715
65,899.392,1.07566,0.6252,1.27269,0.85607,0.9272,0.91296,0.53318,1.179,0.63035,1.30948,0.00113889,0.00113889,0.00113889
66,913.337,1.14128,0.71002,1.35272,0.91876,0.93553,0.96178,0.59269,0.98613,0.55598,1.18135,0.00113064,0.00113064,0.00113064
67,926.289,1.09037,0.64358,1.29036,0.95775,0.93261,0.95852,0.57806,1.13423,0.60688,1.23197,0.00112239,0.00112239,0.00112239
68,939.553,1.09505,0.65568,1.26501,0.94285,0.91033,0.96531,0.59644,1.05798,0.58097,1.19481,0.00111414,0.00111414,0.00111414
69,953.943,1.14839,0.66816,1.31321,0.97334,0.91667,0.95891,0.55516,1.20263,0.62477,1.26926,0.00110589,0.00110589,0.00110589
70,967.734,1.07021,0.65487,1.29652,0.93047,0.92155,0.97592,0.58996,1.01619,0.56738,1.17585,0.00109764,0.00109764,0.00109764
71,980.877,1.11568,0.64188,1.31637,0.9093,0.89286,0.91304,0.53396,1.17194,0.62292,1.25618,0.00108938,0.00108938,0.00108938
72,993.669,1.13838,0.65303,1.2916,0.94299,0.92857,0.97044,0.59924,1.02269,0.58198,1.22178,0.00108113,0.00108113,0.00108113
73,1007.7,1.15664,0.6521,1.3238,0.96359,0.97319,0.97028,0.61184,0.98432,0.55321,1.17937,0.00107288,0.00107288,0.00107288
74,1021.95,1.07894,0.61278,1.26259,0.96238,0.97619,0.96954,0.50811,1.3072,0.61163,1.29852,0.00106463,0.00106463,0.00106463
75,1035.08,1.13537,0.64462,1.30982,0.96326,0.94848,0.97694,0.57436,1.05413,0.58886,1.21654,0.00105638,0.00105638,0.00105638
76,1047.97,1.16957,0.67716,1.31781,0.93804,0.94889,0.94349,0.51867,1.13317,0.59962,1.20445,0.00104813,0.00104813,0.00104813
77,1061.96,1.06881,0.63777,1.26585,0.97859,0.90476,0.96167,0.59476,1.02179,0.5477,1.15116,0.00103987,0.00103987,0.00103987
78,1075.58,1.0825,0.61325,1.24062,0.97006,0.96429,0.98715,0.60914,1.02556,0.55083,1.15033,0.00103162,0.00103162,0.00103162
79,1089.33,1.088,0.62254,1.26806,0.94246,0.96429,0.98359,0.61244,1.01329,0.54942,1.17026,0.00102337,0.00102337,0.00102337
80,1102.85,1.06873,0.61193,1.23787,0.95854,0.96429,0.98815,0.5905,1.02384,0.57638,1.16832,0.00101512,0.00101512,0.00101512
81,1116.27,1.10356,0.62132,1.25557,0.96319,0.90476,0.96162,0.62341,1.00754,0.57842,1.18621,0.00100687,0.00100687,0.00100687
82,1130.4,1.1232,0.61617,1.26998,0.95684,0.91667,0.95684,0.58674,1.06767,0.56392,1.19045,0.000998616,0.000998616,0.000998616
83,1144.29,1.07158,0.60804,1.23471,0.99373,0.91667,0.96287,0.5936,1.07043,0.54366,1.19782,0.000990365,0.000990365,0.000990365
84,1157.1,1.06956,0.58865,1.2513,0.98314,0.94048,0.97394,0.58649,1.01751,0.51958,1.14554,0.000982113,0.000982113,0.000982113
85,1170.24,1.09022,0.60672,1.25445,0.97696,0.96429,0.9802,0.59325,0.98203,0.55476,1.13851,0.000973861,0.000973861,0.000973861
86,1184.24,1.08937,0.61965,1.24165,0.94659,0.95238,0.95936,0.59529,0.99808,0.55035,1.14071,0.00096561,0.00096561,0.00096561
87,1198.2,1.07762,0.59735,1.22291,0.92599,0.95383,0.94505,0.54282,1.10149,0.55142,1.16093,0.000957358,0.000957358,0.000957358
88,1211.08,1.03294,0.62516,1.2146,0.95934,0.94821,0.98151,0.5604,1.17486,0.56163,1.24212,0.000949106,0.000949106,0.000949106
89,1224.04,1.06067,0.5905,1.26023,0.95647,0.94048,0.94282,0.56588,1.07777,0.51324,1.17781,0.000940855,0.000940855,0.000940855
90,1238.17,1.06506,0.57373,1.22033,0.93785,0.96429,0.97674,0.63936,0.94794,0.51189,1.12122,0.000932603,0.000932603,0.000932603
91,1252.65,1.08635,0.6009,1.25178,0.95436,0.93734,0.94126,0.56186,1.18972,0.55618,1.24004,0.000924352,0.000924352,0.000924352
92,1266.16,1.08146,0.59464,1.22408,0.98967,0.96429,0.99051,0.62286,0.99366,0.5604,1.17918,0.0009161,0.0009161,0.0009161
93,1279.04,1.08848,0.60957,1.26605,0.98134,0.92857,0.95797,0.59859,1.06683,0.54404,1.19033,0.000907848,0.000907848,0.000907848
94,1292.49,1.05402,0.58812,1.25229,0.96523,0.96429,0.98608,0.61815,1.15326,0.56952,1.20853,0.000899597,0.000899597,0.000899597
95,1306.29,1.11067,0.61049,1.24408,0.96321,0.94048,0.95906,0.65005,0.9492,0.50605,1.12042,0.000891345,0.000891345,0.000891345
96,1320.58,0.9915,0.5697,1.18611,0.98839,0.95112,0.97957,0.65803,0.87214,0.51152,1.0937,0.000883093,0.000883093,0.000883093
97,1333.79,1.04272,0.5592,1.21535,0.96733,0.95238,0.96562,0.58704,1.16465,0.55602,1.21467,0.000874842,0.000874842,0.000874842
98,1346.95,1.04907,0.59109,1.2266,0.96926,0.95902,0.97608,0.59399,1.05817,0.52107,1.18511,0.00086659,0.00086659,0.00086659
99,1361.14,1.03819,0.56334,1.23609,0.9819,0.96429,0.97888,0.61079,0.90546,0.49317,1.09364,0.000858338,0.000858338,0.000858338
100,1375.28,0.97921,0.55225,1.20177,0.95942,0.94804,0.96232,0.61559,1.03705,0.49944,1.13858,0.000850087,0.000850087,0.000850087
101,1388.29,1.04731,0.59309,1.20512,0.97941,0.95238,0.98102,0.63243,0.94616,0.48175,1.10516,0.000841835,0.000841835,0.000841835
102,1401.09,1.05221,0.57275,1.19693,0.96753,0.94048,0.95633,0.5149,1.37138,0.57948,1.2806,0.000833583,0.000833583,0.000833583
103,1414.95,1.03675,0.56697,1.23169,0.98207,0.94825,0.97102,0.59242,1.14624,0.56108,1.19604,0.000825332,0.000825332,0.000825332
104,1428.83,1.00659,0.54228,1.18949,0.96363,0.95238,0.95486,0.59075,1.01897,0.52679,1.14055,0.00081708,0.00081708,0.00081708
105,1441.92,1.03539,0.58812,1.23514,0.97571,0.97919,0.9872,0.58442,1.12613,0.5547,1.16005,0.000808828,0.000808828,0.000808828
106,1454.71,1.02921,0.59274,1.198,0.97199,0.95238,0.98818,0.62298,0.95453,0.51598,1.10328,0.000800577,0.000800577,0.000800577
107,1468.71,1.0881,0.60522,1.23939,0.95171,0.92857,0.93003,0.55453,1.10631,0.53382,1.16943,0.000792325,0.000792325,0.000792325
108,1482.55,1.04739,0.56614,1.20957,0.99446,0.9881,0.99477,0.54546,1.32479,0.5596,1.29105,0.000784073,0.000784073,0.000784073
109,1495.54,1.04243,0.54939,1.17542,0.97813,0.97437,0.9803,0.65248,0.91658,0.48888,1.08039,0.000775822,0.000775822,0.000775822
110,1508.3,1.0111,0.58272,1.201,0.98066,0.96429,0.98419,0.58916,1.01392,0.52862,1.11814,0.00076757,0.00076757,0.00076757
111,1522.1,1.00963,0.55185,1.1732,0.96035,0.95009,0.97201,0.55415,1.15669,0.54381,1.20422,0.000759318,0.000759318,0.000759318
112,1535.84,1.02453,0.56946,1.19626,0.9573,0.97619,0.96712,0.59007,1.06575,0.50255,1.14133,0.000751067,0.000751067,0.000751067
113,1549.21,0.99818,0.55434,1.17025,0.96419,0.95238,0.97239,0.59481,0.97987,0.49754,1.12323,0.000742815,0.000742815,0.000742815
114,1562.09,1.01796,0.5591,1.19153,0.98555,0.98437,0.98208,0.58977,1.16193,0.55101,1.19113,0.000734564,0.000734564,0.000734564
115,1575.73,1.01279,0.56209,1.1923,0.98417,0.98804,0.98184,0.61448,0.91777,0.47906,1.09551,0.000726312,0.000726312,0.000726312
116,1589.65,0.99096,0.57153,1.18404,0.99387,0.98452,0.99477,0.60826,0.97202,0.49964,1.10197,0.00071806,0.00071806,0.00071806
